Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-03-26,54483.0457323,51344.0489802149,54806.8815135324,51286.2911772789
BTC,2021-03-27,56234.3561050027,55067.8243992337,56520.3072872845,54022.0769411946
BTC,2021-03-29,55343.9258153269,55843.7489159098,56541.0065274396,54741.6263732317
BTC,2021-03-30,57627.6792491031,55786.5460749289,58353.5293934274,54929.6805881028
BTC,2021-03-31,58734.4754337222,57613.1612610215,59379.9921589643,57069.2292723107
BTC,2021-04-01,58724.6645166272,58810.1558902316,59835.392334136,56934.3121158485
BTC,2021-04-02,58984.6129299288,58764.4330922567,59458.9845627677,57973.352097854
BTC,2021-04-03,58821.6269944414,58726.0845659329,60101.7523258852,58478.5983494219
BTC,2021-04-04,57517.7987731414,58958.4289847544,59713.2101360277,57185.7680059776
BTC,2021-04-05,58177.4027637323,57134.860051301,58540.9847064005,56552.2222746656
BTC,2021-04-06,58843.5595402095,58230.6755383335,59243.0361752688,56846.9690472223
BTC,2021-04-07,58040.1876018833,59133.6557404877,59484.1994747287,57421.85308528
BTC,2021-04-08,56508.9428638801,58030.6218488382,58645.7729706819,55541.9061341434
BTC,2021-04-09,57880.9056838598,55996.080360144,58179.6568636965,55758.4911781937
BTC,2021-04-10,58171.9090187021,58094.7441282731,58880.8216078339,57717.8597781978
BTC,2021-04-11,59295.950044014,58149.6505908122,61065.2226248324,57924.0752636046
BTC,2021-04-12,59822.9016774304,59765.1038183476,60588.4719725509,59229.8601057682
BTC,2021-04-13,59853.1972422704,59998.1599130997,61219.7186131498,59428.2147494889
BTC,2021-04-14,63223.8843907858,59841.5613729139,63707.342359208,59799.4405780877
BTC,2021-04-15,62926.5571759009,63562.6735446382,64801.787869525,61400.2839683111
BTC,2021-04-16,63346.7890351052,62987.2701787333,63850.2507346948,62094.6329143272
BTC,2021-04-17,61965.7825980957,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-18,60574.4447282273,61444.2325029806,62534.0284980254,59802.8892670907
BTC,2021-04-19,56850.8301656893,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-20,56224.1015877117,56335.3891413899,57609.3681180061,54449.2453296336
BTC,2021-04-21,56608.7697483925,55723.2272628006,57121.9439016309,53442.8516601945
BTC,2021-04-22,54144.4274760563,56508.1512444248,56809.1463930716,53913.850515382
BTC,2021-04-23,51965.0595594061,53830.8238641807,55471.076371955,50500.7318617182
BTC,2021-04-24,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-25,50733.7695036374,51217.1723295026,51253.4429476246,48932.1588139391
BTC,2021-04-26,48542.9522029844,50177.2374032254,50668.6590249368,47105.5930680066
BTC,2021-04-27,53558.7078446195,49139.2309545102,54398.5927883666,48854.5813736666
BTC,2021-04-28,55123.8619814166,54059.4740685049,55398.0741517103,53351.1153983396
BTC,2021-04-29,54591.5153255436,55086.9387053242,56458.6358118116,53915.3548335028
BTC,2021-04-30,53260.2953411529,54893.8716690807,55224.9079561952,52403.7436077167
BTC,2021-05-01,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-02,57677.9752218988,57741.0209101257,58511.2560485114,57062.7000705128
BTC,2021-05-03,56427.0431250152,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-04,57255.3068375553,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-05,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
BTC,2021-05-06,57252.7021845011,53270.2291184826,57977.6134230368,52987.1586596765
BTC,2021-05-07,56583.8498791665,57459.0521750001,58368.6820919958,55330.7278628212
DOGE,2020-05-07,0.0025615938,0.0024931317,0.0025829344,0.002442898
DOGE,2020-05-08,0.002603887,0.0025614946,0.0027280559,0.0024625978
DOGE,2020-05-09,0.0026098795,0.0026039079,0.0026840074,0.002567629
DOGE,2020-05-10,0.0026379129,0.0026107919,0.0026648416,0.0025393077
DOGE,2020-05-11,0.0024642395,0.0026293562,0.0026485417,0.0022302259
DOGE,2020-05-12,0.0024106975,0.0024654793,0.002554278,0.002288029
DOGE,2020-05-13,0.0024261877,0.0024107868,0.0025611521,0.0023570215
DOGE,2020-05-14,0.0025235296,0.0024250076,0.0025769219,0.0024140927
DOGE,2020-05-15,0.0026010916,0.0025235656,0.0026897995,0.0025044843
DOGE,2020-05-16,0.0024934797,0.0026010917,0.002617169,0.0024520988
DOGE,2020-05-17,0.00249137,0.0024935447,0.0025483082,0.0024544303
DOGE,2020-05-18,0.0025588357,0.0024908531,0.0026048109,0.002480512
DOGE,2020-05-19,0.0025696757,0.0025579286,0.0026162236,0.0024997107
DOGE,2020-05-20,0.0025379437,0.0025693741,0.0026146113,0.0024824077
DOGE,2020-05-21,0.002529521,0.0025379099,0.002598088,0.0024525979
DOGE,2020-05-22,0.0025417342,0.002529444,0.0025950232,0.0023927592
DOGE,2020-05-23,0.0025073371,0.0025414299,0.0025644798,0.0024428287
DOGE,2020-05-24,0.0025174065,0.0025073371,0.0025755326,0.0024761315
DOGE,2020-05-25,0.0024892596,0.0025173279,0.0025792473,0.0024378581
DOGE,2020-05-26,0.0025135391,0.0024892561,0.0025711107,0.0024056453
DOGE,2020-05-27,0.002481123,0.0025135325,0.0025670925,0.0024594081
DOGE,2020-05-28,0.0024774969,0.002481123,0.0025504086,0.0024120442
DOGE,2020-05-29,0.0025419256,0.0024774667,0.0025980646,0.0023799804
DOGE,2020-05-30,0.0025318338,0.0025421336,0.0025697139,0.002467447
DOGE,2020-05-31,0.0026150824,0.0025327465,0.0026725281,0.0024995844
DOGE,2020-06-01,0.0025430862,0.0026152305,0.0026498149,0.0025181335
DOGE,2020-06-02,0.0026710225,0.002543013,0.0027173719,0.0025146885
DOGE,2020-06-03,0.0025652345,0.0026707959,0.0027078266,0.0024698891
DOGE,2020-06-04,0.0025631824,0.0025652335,0.0025920383,0.002502719
DOGE,2020-06-05,0.0025806132,0.0025631858,0.0027176368,0.0025468988
DOGE,2020-06-06,0.0025635961,0.0025807243,0.0026439301,0.0025409729
DOGE,2020-06-07,0.0025983842,0.0025635355,0.0026097662,0.0025306183
DOGE,2020-06-08,0.0026111948,0.0025983842,0.0026355305,0.0025366243
DOGE,2020-06-09,0.0025933767,0.0026111961,0.0026239839,0.00253691
DOGE,2020-06-10,0.0025843874,0.0025931948,0.0026086652,0.0024960175
DOGE,2020-06-11,0.0026182252,0.0025846088,0.0026399766,0.0025416958
DOGE,2020-06-12,0.0024594017,0.0026182252,0.0026436848,0.0023889816
DOGE,2020-06-13,0.0025101464,0.0024595503,0.0025306756,0.0024231749
DOGE,2020-06-14,0.0025316133,0.0025101629,0.0025400914,0.0024681837
DOGE,2020-06-15,0.0024734612,0.0025316133,0.00254004,0.0024448013
DOGE,2020-06-16,0.0025010954,0.0024733958,0.0025182246,0.0023650813
DOGE,2020-06-17,0.0025348024,0.0025011502,0.0025517455,0.0023825003
DOGE,2020-06-18,0.0024721754,0.002534797,0.0025452308,0.0024323469
DOGE,2020-06-19,0.0025093516,0.0024721529,0.0025206777,0.0024217746
DOGE,2020-06-20,0.0024631361,0.0025093563,0.0025134167,0.0024106397
DOGE,2020-06-21,0.0024632658,0.0024628706,0.0024915922,0.0023980976
DOGE,2020-06-22,0.0024520022,0.0024630588,0.0024945165,0.00243198
DOGE,2020-06-23,0.0024995657,0.0024519572,0.0025451185,0.0024135258
DOGE,2020-06-24,0.0024359903,0.0024995657,0.0025097284,0.0024164675
DOGE,2020-06-25,0.002472464,0.0024359903,0.0025069374,0.0023417427
DOGE,2020-06-26,0.0024067916,0.0024724325,0.0024735235,0.0023247217
DOGE,2020-06-27,0.0023672614,0.0024068097,0.0024774718,0.0023020231
DOGE,2020-06-28,0.0023138933,0.0023672614,0.0023745153,0.002243127
DOGE,2020-06-29,0.0022964943,0.0023138953,0.0023549913,0.0022669713
DOGE,2020-06-30,0.0023010871,0.0022965237,0.0023504725,0.0022818946
DOGE,2020-07-01,0.002330995,0.0023010865,0.0023434037,0.0022849618
DOGE,2020-07-02,0.0023484072,0.0023268714,0.0023869253,0.0022918895
DOGE,2020-07-03,0.0023472079,0.0023185992,0.0023757857,0.0022708582
DOGE,2020-07-04,0.002319359,0.0023394717,0.0023447195,0.0022876914
DOGE,2020-07-05,0.0023364817,0.0023222539,0.0023464971,0.0022920502
DOGE,2020-07-06,0.0022859548,0.0022958362,0.0023381698,0.0022631673
DOGE,2020-07-07,0.0025671252,0.0023242835,0.0025801661,0.0022874309
DOGE,2020-07-08,0.0030460421,0.0026128393,0.0030506456,0.0025601355
DOGE,2020-07-09,0.0045434034,0.0031363254,0.0055521094,0.0030515076
DOGE,2020-07-10,0.0044481718,0.0047900321,0.0050645166,0.004061791
DOGE,2020-07-11,0.0035100601,0.0043461944,0.0043517041,0.0034143693
DOGE,2020-07-12,0.0037407423,0.0035276318,0.0039633657,0.0034498049
DOGE,2020-07-13,0.0036662478,0.0038391104,0.003863984,0.0035799529
DOGE,2020-07-14,0.0031349807,0.0036361395,0.0036407577,0.002989042
DOGE,2020-07-15,0.0033053101,0.0031932019,0.0034076702,0.0030329481
DOGE,2020-07-16,0.0030995718,0.0032710663,0.0033066155,0.0030525311
DOGE,2020-07-17,0.002960778,0.0030972793,0.0031030482,0.0028548223
DOGE,2020-07-18,0.0030606856,0.0029934683,0.003098015,0.0029183196
DOGE,2020-07-19,0.0035554331,0.0030723977,0.0036963728,0.0030232074
DOGE,2020-07-20,0.0034421398,0.003434978,0.003805318,0.0033069614
DOGE,2020-07-21,0.003209512,0.0033605843,0.0034577585,0.0031349192
DOGE,2020-07-22,0.0033314479,0.0032570012,0.0033394608,0.0031596707
DOGE,2020-07-23,0.0032925453,0.0032973342,0.0033119339,0.0031973345
DOGE,2020-07-24,0.0032995136,0.0032738491,0.0033424145,0.003256658
DOGE,2020-07-25,0.0032320933,0.0033216663,0.0033282678,0.0031543271
DOGE,2020-07-26,0.0032181744,0.0032266158,0.0032668012,0.0031604695
DOGE,2020-07-27,0.0032171483,0.0032267888,0.0032958322,0.0031653523
DOGE,2020-07-28,0.0032018611,0.003247536,0.0032817185,0.0030187307
DOGE,2020-07-29,0.0031959015,0.0031466715,0.0032632032,0.0030934191
DOGE,2020-07-30,0.0032185034,0.0032288486,0.0032922963,0.003157137
DOGE,2020-07-31,0.0032383311,0.0031803403,0.003297594,0.0031202912
DOGE,2020-08-01,0.0032127984,0.0032317311,0.0032899142,0.0031252314
DOGE,2020-08-02,0.0037214543,0.0032400865,0.0038627845,0.0031957356
DOGE,2020-08-03,0.0033613726,0.0036996394,0.0037647155,0.0031134722
DOGE,2020-08-04,0.0033846403,0.0033700261,0.0034807071,0.0032808091
DOGE,2020-08-05,0.0035220351,0.0033830969,0.0035741733,0.0033300073
DOGE,2020-08-06,0.0034911712,0.0035586561,0.003589528,0.0034372601
DOGE,2020-08-07,0.0035456361,0.0035104307,0.0036578549,0.0034215673
DOGE,2020-08-08,0.003467752,0.0035873956,0.0036395727,0.0033655868
DOGE,2020-08-09,0.0034725917,0.0035047948,0.0035501102,0.0034007354
DOGE,2020-08-10,0.0034491764,0.0034858159,0.0035327197,0.0034053
DOGE,2020-08-11,0.003466908,0.0034508911,0.0035573158,0.003401193
DOGE,2020-08-12,0.0033461891,0.0034863742,0.0036091369,0.0032985238
DOGE,2020-08-13,0.0034578302,0.0033651908,0.0035279998,0.0033213342
DOGE,2020-08-14,0.0034826522,0.0034640746,0.0035460093,0.0033136176
DOGE,2020-08-15,0.0035389617,0.0034664651,0.00357436,0.0034280944
DOGE,2020-08-16,0.0035768914,0.0035972214,0.0036398394,0.0034659842
DOGE,2020-08-17,0.0035189928,0.0035438039,0.0035618817,0.003430092
DOGE,2020-08-18,0.0036194662,0.0035212309,0.0037551537,0.0034872205
DOGE,2020-08-19,0.0035321934,0.0036294621,0.0037539298,0.0034132784
DOGE,2020-08-20,0.0034215043,0.0035160612,0.0035583217,0.0033162424
DOGE,2020-08-21,0.0034458291,0.0034459348,0.003513958,0.0033560696
DOGE,2020-08-22,0.0034271111,0.0034460262,0.0035922249,0.0033708621
DOGE,2020-08-23,0.0034506779,0.0034079477,0.0034522011,0.0033240055
DOGE,2020-08-24,0.0034014027,0.003432943,0.00346208,0.0033692534
DOGE,2020-08-25,0.0034001715,0.0034094763,0.0034920177,0.0033294924
DOGE,2020-08-26,0.0033108429,0.0034117958,0.0034741401,0.0031902627
DOGE,2020-08-27,0.0032998841,0.0033181421,0.0033666672,0.0032222059
DOGE,2020-08-28,0.0031795475,0.0033024474,0.003313294,0.0031408925
DOGE,2020-08-29,0.0032479485,0.0031972334,0.0032823492,0.0031709724
DOGE,2020-08-30,0.0032809602,0.0032603831,0.0033070956,0.0032358206
DOGE,2020-08-31,0.003304379,0.0032830692,0.0033503418,0.0032679906
DOGE,2020-09-01,0.0032036486,0.0032974035,0.0033168839,0.0031856853
DOGE,2020-09-02,0.0032400232,0.0032145926,0.0032988382,0.0031648939
DOGE,2020-09-03,0.0031167746,0.0032718908,0.0032879203,0.0030315499
DOGE,2020-09-04,0.0029215787,0.0031126967,0.0031434904,0.0028747835
DOGE,2020-09-05,0.0029182832,0.0027775992,0.0029653661,0.0027016815
DOGE,2020-09-06,0.002730362,0.0028776282,0.0029330915,0.0026881386
DOGE,2020-09-07,0.0027623617,0.0027736715,0.0028284097,0.0026835479
DOGE,2020-09-08,0.002838857,0.0027837136,0.0028417699,0.0026885247
DOGE,2020-09-09,0.0027231472,0.0028273067,0.002844234,0.0026739586
DOGE,2020-09-10,0.0028029683,0.0027747101,0.0028229724,0.0026767458
DOGE,2020-09-11,0.0027983741,0.002803327,0.0028672467,0.0027375965
DOGE,2020-09-12,0.0027957139,0.0028311696,0.0028410731,0.0027320854
DOGE,2020-09-13,0.0027900554,0.0028011713,0.0028438622,0.0027473181
DOGE,2020-09-14,0.0027647978,0.0028150983,0.0028243923,0.0027309208
DOGE,2020-09-15,0.0027820765,0.0027849172,0.0028252631,0.0027345443
DOGE,2020-09-16,0.0028238721,0.0027977849,0.0028753198,0.0027807157
DOGE,2020-09-17,0.0027912759,0.0028268898,0.002869699,0.0027777766
DOGE,2020-09-18,0.0027929049,0.0028225489,0.0028643734,0.0027445815
DOGE,2020-09-19,0.0027977671,0.0028052335,0.0028199819,0.0027498302
DOGE,2020-09-20,0.0027907185,0.0027939666,0.0028106163,0.0027652548
DOGE,2020-09-21,0.0027524703,0.0027910809,0.0028039335,0.0027264502
DOGE,2020-09-22,0.0026660844,0.0027722337,0.0028053758,0.0025738445
DOGE,2020-09-23,0.0026181823,0.0026022295,0.0026726183,0.0025724904
DOGE,2020-09-24,0.002558773,0.0026428688,0.0026753616,0.0025257959
DOGE,2020-09-25,0.0026328634,0.0025426967,0.0026606011,0.0025022844
DOGE,2020-09-26,0.0026856534,0.0026273914,0.0027306708,0.0026054488
DOGE,2020-09-27,0.002702662,0.002735631,0.0027580429,0.002679163
DOGE,2020-09-28,0.0027056237,0.0027036344,0.0027366528,0.0026647486
DOGE,2020-09-29,0.0026673956,0.002696192,0.0027610056,0.002649147
DOGE,2020-09-30,0.0026741477,0.0026268328,0.0027411341,0.0026015799
DOGE,2020-10-01,0.0026278668,0.0026444922,0.0026906162,0.0026047339
DOGE,2020-10-02,0.0026314479,0.0026246576,0.0026917345,0.0025621737
DOGE,2020-10-03,0.0026014262,0.0026276769,0.0026297865,0.0025318728
DOGE,2020-10-04,0.002584024,0.0025952211,0.0026391787,0.0025770321
DOGE,2020-10-05,0.0026122674,0.0025928031,0.0026924083,0.0025863962
DOGE,2020-10-06,0.0026065965,0.002615554,0.0026559446,0.0025946524
DOGE,2020-10-07,0.0025963919,0.0026282294,0.0026337226,0.0025716949
DOGE,2020-10-08,0.0025878497,0.002593248,0.0026089983,0.00255574
DOGE,2020-10-09,0.0026210788,0.0025883882,0.0026441711,0.002542567
DOGE,2020-10-10,0.002654308,0.0026110864,0.0027048772,0.0025721531
DOGE,2020-10-11,0.002689359,0.0026562845,0.002767314,0.0026391025
DOGE,2020-10-12,0.0026867368,0.0026470493,0.002711992,0.0026363096
DOGE,2020-10-13,0.0027116933,0.0026864761,0.002727675,0.0026167617
DOGE,2020-10-14,0.0026422849,0.0026809792,0.002687318,0.0026294692
DOGE,2020-10-15,0.0026523028,0.0026493817,0.0026793805,0.0026196142
DOGE,2020-10-16,0.0026082201,0.0026408589,0.0026596618,0.0025471682
DOGE,2020-10-17,0.0025886808,0.0025886834,0.0026245345,0.0025324054
DOGE,2020-10-18,0.0025663666,0.0026067911,0.0026333895,0.0025495439
DOGE,2020-10-19,0.0025952095,0.0025917348,0.0026043822,0.0025688828
DOGE,2020-10-20,0.0025925037,0.0025948408,0.0026300379,0.0025653441
DOGE,2020-10-21,0.0025964447,0.0026068594,0.0026417575,0.0025615431
DOGE,2020-10-22,0.002681365,0.0025749817,0.0026937392,0.0025618955
DOGE,2020-10-23,0.002679465,0.0025958936,0.0026985482,0.002592006
DOGE,2020-10-24,0.0026595382,0.0026515482,0.0026990651,0.00261726
DOGE,2020-10-25,0.0026821765,0.0026336312,0.0026995999,0.0026065434
DOGE,2020-10-26,0.0026654401,0.0026839464,0.0029266142,0.0026230521
DOGE,2020-10-27,0.0026956016,0.0026814608,0.0027328216,0.0026205306
DOGE,2020-10-28,0.002559989,0.0026427848,0.0027205492,0.0025342612
DOGE,2020-10-29,0.0025857678,0.0026048495,0.0026279071,0.0025090554
DOGE,2020-10-30,0.0025893842,0.0025878809,0.0026125216,0.0025096451
DOGE,2020-10-31,0.0026047046,0.0025999029,0.0026264161,0.0025027936
DOGE,2020-11-01,0.0025760171,0.002604668,0.0026192734,0.0025216748
DOGE,2020-11-02,0.002503459,0.0025628601,0.0025948305,0.0024907478
DOGE,2020-11-03,0.0025049993,0.0025356547,0.0025376822,0.002444745
DOGE,2020-11-04,0.0025538946,0.0025208209,0.0026200358,0.0024821165
DOGE,2020-11-05,0.0026792854,0.0025543295,0.002693771,0.002519514
DOGE,2020-11-06,0.0027101336,0.0026519085,0.0028678921,0.0025797781
DOGE,2020-11-07,0.0026760902,0.002784494,0.0028889226,0.0025640615
DOGE,2020-11-08,0.0026890653,0.0026702674,0.002764005,0.0026353857
DOGE,2020-11-09,0.0026805462,0.0027285896,0.0028328406,0.0026405948
DOGE,2020-11-10,0.002845188,0.0026585499,0.0028860172,0.0026406682
DOGE,2020-11-11,0.0027512423,0.002765446,0.0028953669,0.0027221736
DOGE,2020-11-12,0.0027768405,0.0027818407,0.0028360445,0.0026980367
DOGE,2020-11-13,0.0028235882,0.0027776524,0.0028614603,0.0027670399
DOGE,2020-11-14,0.0027657872,0.002841185,0.0028503121,0.002703005
DOGE,2020-11-15,0.0027823463,0.0027654553,0.0028385082,0.0027209712
DOGE,2020-11-16,0.002879259,0.0027662299,0.0030599307,0.0027509049
DOGE,2020-11-17,0.0029175047,0.0029283182,0.0029977918,0.0028760652
DOGE,2020-11-18,0.0029408577,0.0029143436,0.003028336,0.0028319611
DOGE,2020-11-19,0.0029037501,0.0029364561,0.0029877106,0.0028403524
DOGE,2020-11-20,0.0030533834,0.002923943,0.0030728221,0.0028679573
DOGE,2020-11-21,0.0034896879,0.003044365,0.0036355473,0.0029333649
DOGE,2020-11-22,0.0034321319,0.0035213341,0.003688855,0.0031477917
DOGE,2020-11-23,0.0034476192,0.0033697542,0.0035025748,0.0031989382
DOGE,2020-11-24,0.0039394926,0.0037306609,0.0042135243,0.0035419355
DOGE,2020-11-25,0.0037237221,0.0042920994,0.0043166044,0.0036936865
DOGE,2020-11-26,0.0032596568,0.0037181693,0.0038284343,0.0029612547
DOGE,2020-11-27,0.0032933965,0.0032569103,0.0033746556,0.0030706732
DOGE,2020-11-28,0.0034300423,0.0033211784,0.0034983252,0.0032439456
DOGE,2020-11-29,0.0034322807,0.0033954723,0.0035557451,0.0033525141
DOGE,2020-11-30,0.0035697728,0.0033982613,0.0036589832,0.0033851849
DOGE,2020-12-01,0.0033846581,0.0035836496,0.0036372697,0.0032277608
DOGE,2020-12-02,0.0033759578,0.0033422279,0.0034804284,0.0032386289
DOGE,2020-12-03,0.0033947744,0.0033863355,0.0035298694,0.003321927
DOGE,2020-12-04,0.0033223523,0.0034517944,0.0034625981,0.0032558819
DOGE,2020-12-05,0.0034013053,0.003292811,0.0034205726,0.0032560142
DOGE,2020-12-06,0.003386104,0.0033767234,0.0034459796,0.0033408295
DOGE,2020-12-07,0.0033198234,0.0033735674,0.003413905,0.003290005
DOGE,2020-12-08,0.0032161963,0.0033231852,0.0033781179,0.0031928835
DOGE,2020-12-09,0.0032127536,0.0031880724,0.0032241658,0.0029858387
DOGE,2020-12-10,0.003117204,0.0031485097,0.0032143888,0.0030561255
DOGE,2020-12-11,0.0030920375,0.0031530192,0.0031630021,0.0029937034
DOGE,2020-12-12,0.003138921,0.0031189156,0.0032345377,0.0030720585
DOGE,2020-12-13,0.0032897677,0.0031729813,0.0033163674,0.0031067365
DOGE,2020-12-14,0.0032367859,0.0033053642,0.0033349865,0.003150989
DOGE,2020-12-15,0.0031922537,0.003183914,0.0032691775,0.0031399972
DOGE,2020-12-16,0.0033279505,0.0032193813,0.0034402857,0.0031695685
DOGE,2020-12-17,0.0037873309,0.0034195207,0.0041214479,0.0033546996
DOGE,2020-12-18,0.0038458433,0.0037592866,0.0039971509,0.0036185174
DOGE,2020-12-19,0.0039868147,0.0038881483,0.0040468371,0.0037939498
DOGE,2020-12-20,0.0045690554,0.0039276745,0.004718036,0.0038223384
DOGE,2020-12-21,0.0049380277,0.0046466168,0.0054598851,0.004274863
DOGE,2020-12-22,0.0045453383,0.004778417,0.0048858255,0.0043156474
DOGE,2020-12-23,0.0038215386,0.0045032613,0.0047413424,0.0036295951
DOGE,2020-12-24,0.0045611096,0.0037991182,0.0045654595,0.0036806037
DOGE,2020-12-25,0.0045155782,0.0045633938,0.0046361513,0.0043852883
DOGE,2020-12-26,0.0044798184,0.0045842471,0.0046490745,0.0043912673
DOGE,2020-12-27,0.004531546,0.0045680821,0.0048408929,0.0043653853
DOGE,2020-12-28,0.0046103699,0.004563113,0.0047458041,0.0044945128
DOGE,2020-12-29,0.0044214888,0.0045911724,0.0046735,0.0042462607
DOGE,2020-12-30,0.0046371478,0.0045228911,0.0047545771,0.004429649
DOGE,2020-12-31,0.0047409073,0.0046687179,0.0047958644,0.0044919828
DOGE,2021-01-01,0.0054048028,0.0046652409,0.0055160855,0.004620678
DOGE,2021-01-02,0.0114266048,0.0056806334,0.0138923662,0.0055499644
DOGE,2021-01-03,0.0100456684,0.0104497833,0.0139065672,0.0092402927
DOGE,2021-01-04,0.0096303739,0.0096944993,0.0114504875,0.0076537399
DOGE,2021-01-05,0.009729501,0.0097794163,0.0102788205,0.0088350736
DOGE,2021-01-06,0.0103569466,0.0100077457,0.0110562213,0.0096554867
DOGE,2021-01-07,0.0097812809,0.0104170567,0.0106080119,0.0094309429
DOGE,2021-01-08,0.0097488037,0.0097456547,0.0098585823,0.0089077782
DOGE,2021-01-09,0.0102494202,0.0098319758,0.0107078007,0.0095977714
DOGE,2021-01-10,0.0099748794,0.0101471822,0.0108789144,0.008920345
DOGE,2021-01-11,0.0082291743,0.0097766926,0.0098446248,0.0067288489
DOGE,2021-01-12,0.0081135415,0.0088328308,0.009181302,0.0078226675
DOGE,2021-01-13,0.0084418915,0.0081025114,0.0087580479,0.0077381642
DOGE,2021-01-14,0.0091705192,0.008661439,0.0101533027,0.0083214042
DOGE,2021-01-15,0.0093241651,0.0093766387,0.0098866655,0.0083238288
DOGE,2021-01-16,0.0092294292,0.0093335126,0.0095909286,0.0090348357
DOGE,2021-01-17,0.009173034,0.0092703639,0.0093883233,0.0087429083
DOGE,2021-01-18,0.0091346006,0.0091317306,0.009329705,0.0089281663
DOGE,2021-01-19,0.0092621866,0.0092289397,0.0097203816,0.008950459
DOGE,2021-01-20,0.0089794603,0.0090837122,0.009186247,0.008491961
DOGE,2021-01-21,0.0081028719,0.0090676377,0.0091060591,0.0079941341
DOGE,2021-01-22,0.0086071485,0.0081933827,0.008777423,0.0075879814
DOGE,2021-01-23,0.0085160981,0.0084797971,0.008836924,0.0083413293
DOGE,2021-01-24,0.008726821,0.0085281404,0.0090055842,0.008483593
DOGE,2021-01-25,0.0083776089,0.0087685219,0.0088831531,0.0081656993
DOGE,2021-01-26,0.008194668,0.0083528885,0.0084678692,0.0079652435
DOGE,2021-01-27,0.0074315832,0.0082950669,0.0082957959,0.007249931
DOGE,2021-01-28,0.0235350632,0.0074734262,0.0273231308,0.0072794599
DOGE,2021-01-29,0.0517932459,0.0369032822,0.0792251,0.027538627
DOGE,2021-01-30,0.0323042606,0.0458957728,0.0506567252,0.0221796291
DOGE,2021-01-31,0.0372874714,0.0283098358,0.0462383847,0.0268235102
DOGE,2021-02-01,0.033748913,0.0370310522,0.0437949756,0.0332889909
DOGE,2021-02-02,0.0314791877,0.0348341986,0.0353060832,0.0301935074
DOGE,2021-02-03,0.0361952359,0.031420742,0.0398617734,0.0310406721
DOGE,2021-02-04,0.0508689103,0.0372364713,0.0596809569,0.0358809886
DOGE,2021-02-05,0.0469722368,0.0528588374,0.0543163155,0.0431891489
DOGE,2021-02-06,0.05612247,0.0467455898,0.0561791896,0.0449719095
DOGE,2021-02-07,0.0826052787,0.0577102641,0.0871587615,0.0539830092
DOGE,2021-02-08,0.0790155094,0.0781148614,0.0854587932,0.0629015041
DOGE,2021-02-09,0.0707010226,0.0787853802,0.0838092891,0.0633896777
DOGE,2021-02-10,0.0742113608,0.0701410758,0.0815953604,0.0666030652
DOGE,2021-02-11,0.0699101691,0.0726352005,0.0754227288,0.0680236543
DOGE,2021-02-12,0.0706943689,0.0696764321,0.0731010502,0.0625556151
DOGE,2021-02-13,0.0663360307,0.0698756716,0.0717280284,0.0658174897
DOGE,2021-02-14,0.058793294,0.0663029671,0.066533961,0.0563578151
DOGE,2021-02-15,0.0572737893,0.0627465261,0.0642568742,0.0477429296
DOGE,2021-02-16,0.0537229125,0.056466269,0.0599171361,0.0506288424
DOGE,2021-02-17,0.0497811672,0.0535769172,0.0551411834,0.0494468851
DOGE,2021-02-18,0.0619595576,0.0495097546,0.0619595576,0.0489094528
DOGE,2021-02-19,0.0551494951,0.058839269,0.059751612,0.0539269531
DOGE,2021-02-20,0.0526117771,0.0549887235,0.0601246899,0.0510886333
DOGE,2021-02-21,0.0571953976,0.0542105748,0.0598165739,0.0533107284
DOGE,2021-02-22,0.0533927188,0.0559756672,0.0608136562,0.0464106711
DOGE,2021-02-23,0.0468269618,0.0535847321,0.0539293002,0.0426021201
DOGE,2021-02-24,0.0560009466,0.0476623435,0.0606731827,0.0459878137
DOGE,2021-02-25,0.0519867438,0.0568343867,0.0579432689,0.0505113638
DOGE,2021-02-26,0.0502146697,0.0499717541,0.0526406733,0.0485098473
DOGE,2021-02-27,0.0501439853,0.0504920992,0.0520316172,0.0495777622
DOGE,2021-02-28,0.0489883242,0.0502099974,0.0503221859,0.0448265469
DOGE,2021-03-01,0.0504783622,0.0482228424,0.0519441059,0.0480237299
DOGE,2021-03-02,0.0504409389,0.0505312561,0.0525645978,0.0491469894
DOGE,2021-03-03,0.0508586996,0.0505082089,0.0522973316,0.0500708874
DOGE,2021-03-04,0.0504527343,0.0504837732,0.0512398475,0.047816364
DOGE,2021-03-05,0.0497762863,0.0500818447,0.0510692327,0.04806487
DOGE,2021-03-06,0.0515306162,0.0495990557,0.0526546716,0.0491752828
DOGE,2021-03-07,0.0516958369,0.0509566568,0.0519589477,0.0504566825
DOGE,2021-03-08,0.0591824888,0.0519728875,0.0600545134,0.0516328247
DOGE,2021-03-09,0.0581577003,0.0630167122,0.0630368052,0.0560060336
